veintiles,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
1,283519.6162412198,317117.6087077454,373267.94554455444,199851.59888233469,234197.54716981133,271756.24786032183,132309.93317816654,218400.33328704347,434316.6136967541,195619.62741994398,202116.0061234904,133612.43952455852,150243.92529934156,265966.3940520446,272207.82668586815,229694.63848317155,262497.7125226088,181404.30428297466,319137.17964095797,124705.40719334285,208763.17632004636,320218.97458821913,263290.437255599,172297.33033801787,212984.44311871874,288983.0283744365,199919.52275119897,239153.3869240959,228957.4135233791,158014.5566598378,187402.8544367876,174051.80966378836
2,297756.5367965368,311112.6467947896,436984.5867864612,203727.29417315405,275702.6912780048,296889.49244610424,155540.38632360246,267569.8954415266,536523.4802541196,212069.41114317064,225576.81445845793,148750.16129032258,207943.07158535722,330819.398580763,301447.13251880486,286320.36578043934,276855.88266934414,230893.1596091205,412460.7003476431,153170.38678697695,280306.80868079537,350034.131590838,322042.5666337611,194016.6274509804,257367.09448325483,292300.11108642526,235810.08972606808,243651.92498256688,204498.7645728206,179344.67485403665,223665.5165576046,198494.83684427923
3,317550.6365408877,386408.64978506934,426438.240917782,238834.69516027655,280472.6703359271,305186.84346478386,175558.08043055763,274320.645905421,576216.8194451767,217126.9906084116,246307.08786833024,158681.22113596834,232070.4499145139,376035.5640231801,351306.58553803747,257218.35261425076,272123.70425373927,258396.69952850408,397700.46432420204,190071.76058912624,238098.11704341933,402832.8963709121,285524.7293921732,278948.0563974173,252121.71794930717,314967.31154102733,264458.1837288729,266030.9125372326,256355.1934826884,222435.3567847664,258295.34385349698,193532.17231897343
4,313734.5742847294,425591.5343139053,416002.50528458465,260582.37906052815,284648.29044765595,319369.3828844187,184042.11481733606,297161.0982238687,644131.0171145076,232903.09563519506,274473.556159821,169540.7318536293,262176.4580217902,358112.81871242373,362184.9111993008,274800.16579929076,328676.3506261181,225447.69650596607,422874.0165851584,175727.8983033041,253226.36407532592,426825.6348246675,353214.1352307509,243488.3793805818,291594.583275164,329440.6678592725,296369.874774268,296339.228654232,280405.99502343615,221535.30636072898,247376.95486857332,223763.92352452202
5,345322.64345435804,406408.385995837,476523.81763294374,291206.6350710901,317180.5341976389,345458.5806451613,178055.25854710455,318164.6555323591,637377.5185338502,257860.64673581452,309578.0019782394,192477.72580353738,266508.81896430085,400976.5230155312,388198.76170820766,277985.36436007346,315362.5733098262,277819.72014318255,448393.5078196378,201525.94847037832,298657.0281514185,465141.08998032653,412243.8327913064,305781.8842296454,294015.0272282346,370116.5308031538,287573.2529265697,320853.9440574742,270479.98609743384,239448.57243994944,287074.4341274824,248122.2876057374
6,362714.2286399178,404514.25927639497,487549.53156197205,315431.25146564527,328432.1122221696,355579.6115681452,187861.15028051965,336164.79609620076,771750.235274786,294499.87855234393,332582.4488671398,214396.05389797883,272110.2280743005,437569.1860770348,428639.02988103655,276923.7639553429,332099.22172074346,284252.48530197755,506479.0982562893,227315.49044630525,342911.5374911393,421023.6829386177,422551.3598738668,283003.7034118667,324317.29761211417,368147.842301545,296988.679245283,333787.8321349007,329831.3253012048,256745.6338762434,263784.29073856975,239688.74020439025
7,369922.76964047935,429352.04991087347,545934.2389626427,323821.03464346746,339172.8421201214,352896.2569060773,208311.4065568817,378427.1736761068,770003.2807800967,296508.25298251346,359103.07605009305,227088.79628145538,285291.5255029323,440932.1947174339,439331.93588472303,348576.5232378821,346503.31220172375,289426.1283688711,455626.4909144275,202164.64873996904,328611.3454315615,496138.6770212176,430474.3600971299,330574.4430190853,349924.12272643764,402649.8445135495,301154.9187364931,362855.16632322635,306877.68623610074,298608.5138666442,285810.4284290933,241222.0229060301
8,355894.10210762074,447261.9091751622,535055.0688360451,387478.75623071444,343616.8105278053,363696.4367718343,204650.71885585246,364378.0983446423,862499.2237829892,279163.2611774226,321786.14079195476,232920.17836339533,317301.49932494847,488208.7008468918,491958.50824871496,318877.4249351291,379278.3799201369,283112.593469256,563484.6330643006,240299.32256383533,336031.0277015708,527901.9899636615,511198.67051794403,348212.47786688886,354570.50734064303,384897.76619015005,317381.35367692716,353642.78302319185,290996.8564442892,262418.73133760225,328889.58928395546,247700.76561202842
9,385841.8093329516,482165.3549153549,590946.1300309597,346696.16380324785,366637.3391958017,406321.81536874676,252137.928975534,369590.31702693773,873221.0938864795,269047.71225838026,367932.9705179907,230704.7891692014,345312.85459940654,509773.06282768416,517257.56964069436,337908.3883358993,341283.3925304058,309943.48152115697,564058.9140235174,232523.0345606665,369433.6281050562,574440.6521513378,515783.1123850472,375918.7099158067,389653.6328341653,452396.7175505162,361036.9672710149,387857.0571225926,296567.8496868476,291632.402700225,326583.85012076504,252710.0101298462
10,445766.78687961533,481844.4966778331,719370.4735376044,373916.56288916565,423681.4643581639,404833.0788367505,220295.42061852562,395981.06697643775,992878.403339891,314763.7611867108,452007.23327305604,246705.5005809062,339196.5483280964,526777.0150459103,515817.194350344,354042.1228965202,415659.6655136754,404095.40254694584,562470.0797336841,251974.90502248093,382355.78006323363,558273.3367715317,587810.3837471784,364855.8622316584,362813.2883611329,449300.76199013897,358684.7848711011,387600.5754546461,303039.842254828,321741.61772561923,341556.4226998118,269022.96105804556
