entidad,veintiles,media,media_se,propietario,propietario_se,total_hogares,total_hogares_se,factor,valor_promedio,hogares_propietarios,acumulacion_valor,sum_valor,acum_porcen
1,1,283519.6162412198,14597.728159944854,0.5121923362457884,0.04754314538614855,17511,1662.7778674214194,1.8291666666666666,518604.63137456455,8969.000000000002,4651364938.7984705,243383675885.46313,0.01911124450674914
1,2,297756.5367965368,19095.43262385874,0.5224819624819624,0.04783701893690098,17325,1653.8079210396393,1.8291666666666666,544646.3318903319,9052,4930138596.271285,243383675885.46313,0.02025665270415021
1,3,317550.6365408877,19816.363953055028,0.5448445922697557,0.047831607506616525,17438,1674.2687741181778,1.8291666666666666,580853.0393393737,9501,5518684726.76339,243383675885.46313,0.022674835141205173
1,4,313734.5742847294,14186.979889137083,0.573250603240262,0.04850793287928632,17406,1699.015592437554,1.8291666666666666,573872.8254624842,9978,5726103052.464667,243383675885.46313,0.023527062904413455
1,5,345322.64345435804,14725.496503462544,0.5883633031726033,0.04715908754602415,17462,1677.9007331358657,1.8291666666666666,631652.6686519299,10274,6489599517.729928,243383675885.46313,0.02666407060424195
1,6,362714.2286399178,17941.174800588895,0.575309628445865,0.04794797212134973,17521,1699.2796083571793,1.8291666666666666,663464.7765538496,10080,6687724947.662804,243383675885.46313,0.02747811628422467
1,7,369922.76964047935,19705.668989945276,0.728709546691368,0.042816502635454695,17273,1684.682795631205,1.6472222222222221,609345.0066577896,12587,7669825598.801598,243383675885.46313,0.03151331152715038
1,8,355894.10210762074,15277.826958923626,0.6017343364153219,0.04684952815364548,17413,1656.0428094650204,1.6472222222222221,586236.6737494975,10478,6142587867.547235,243383675885.46313,0.025238290305213195
1,9,385841.8093329516,21454.164160853496,0.6919553392499285,0.04581508677475103,17465,1713.1941133187024,1.6472222222222221,635567.2025956674,12085,7680829643.368641,243383675885.46313,0.031558524274172176
1,10,445766.78687961533,26506.97981593364,0.6144026561337226,0.04849594360386102,17469,1704.3778320284775,1.6472222222222221,734276.9572766997,10733,7880994582.450818,243383675885.46313,0.03238094976492849
1,11,442749.69728420686,25940.230993531306,0.6350689038805282,0.048049026949479955,17343,1709.4352243700444,1.6472222222222221,729307.1402487074,11014,8032588842.699263,243383675885.46313,0.03300381101351849
1,12,453201.39644022204,24820.578611045963,0.764035941166371,0.04060679125563689,17473,1676.792972444052,1.6472222222222221,746523.4113584768,13350,9966087541.635666,243383675885.46313,0.04094805251575594
1,13,506376.5651924181,33622.56287815392,0.7649626651349799,0.04115319448486642,17410,1719.2699163415775,1.6472222222222221,834114.730997511,13318,11108739987.42485,243383675885.46313,0.04564291317817324
1,14,556504.2093809061,38659.74526545143,0.7085504839356279,0.04561685960556033,17461,1756.0540804218272,1.86,1035097.8294484854,12371.999999999998,12806230345.936659,243383675885.46313,0.052617458008824294
1,15,609611.0376544984,49962.6321384332,0.6697326818051164,0.04680815163706224,17395,1715.419733469555,1.86,1133876.530037367,11649.999999999998,13209661574.935324,243383675885.46313,0.05427505163144885
1,16,612706.9413190237,33709.684344293,0.774508106860539,0.04049584584046798,17331,1706.7115268100931,1.86,1139634.9108533843,13423,15297319408.384977,243383675885.46313,0.06285269278118688
1,17,619970.5932638057,38943.11549614919,0.7306662107482761,0.0438447248985638,17547,1734.503558169281,1.86,1153145.3034706786,12821,14784475935.797571,243383675885.46313,0.06074555280673457
1,18,812367.492795389,66480.26391438826,0.8556195965417868,0.034932164643051426,17350,1725.9059334175263,1.86,1511003.5365994237,14845,22430847500.818447,243383675885.46313,0.09216249783068628
1,19,877073.607998621,68624.611533135,0.918922024938229,0.02809612425294959,17403,1772.1325521229066,1.86,1631356.910877435,15992,26088659718.75194,243383675885.46313,0.10719149352904556
1,20,1496864.0922190202,125758.43354717566,0.9580979827089338,0.019478748578308804,17350,1822.5026427449936,1.86,2784167.211527378,16623,46281211557.219604,243383675885.46313,0.1901574186881771
2,1,317117.6087077454,22805.239975862336,0.37362087188711085,0.049532981751933075,53929,5617.338027166109,1.3925595238095239,441605.1461736728,20149,8897902090.253334,740904899233.407,0.01200950634752144
2,2,311112.6467947896,15479.754121143957,0.35075023358921276,0.04843085046012476,54583,5605.314978178078,1.3925595238095239,433242.87927167275,19145,8294434923.656175,740904899233.407,0.011195006177227587
2,3,386408.64978506934,31264.374263244878,0.5515927392863177,0.05219056150791705,53273,5590.710206003611,1.3925595238095239,538097.0453405773,29385.000000000004,15811981677.332865,740904899233.407,0.021341445701996396
2,4,425591.5343139053,24077.16150038995,0.4396251329640905,0.05062097854076411,54526,5568.144462543445,1.3925595238095239,592661.5443615366,23971,14206689879.890394,740904899233.407,0.019174781938396748
2,5,406408.385995837,27489.725241434713,0.5592664128865302,0.05208745394953184,53327,5612.459065055287,1.3925595238095239,565947.86847456,29823.999999999996,16878829229.385275,740904899233.407,0.022781370789759003
2,6,404514.25927639497,21965.822145377915,0.5425742574257426,0.05080393233036941,54035,5509.943120576665,1.3925595238095239,563310.1842720988,29318.000000000004,16515127982.489395,740904899233.407,0.02229048289406255
2,7,429352.04991087347,22301.495051341935,0.5258652703505645,0.05234056841196158,53856,5627.896099681055,1.2461208333333333,535024.5342283126,28321.000000000004,15152429833.880041,740904899233.407,0.020451247993578968
2,8,447261.9091751622,25673.34699510588,0.5226506024096386,0.051476210685526755,53950,5549.660443487409,1.2461208333333333,557342.3829796108,28197,15715383172.876087,740904899233.407,0.021211066614806224
2,9,482165.3549153549,25386.10335580392,0.6457900207900208,0.051034748611519846,53872,5723.5448773822045,1.2461208333333333,600836.2938715845,34790,20903094663.792423,740904899233.407,0.02821292541785087
2,10,481844.4966778331,25203.527132156203,0.7066869019636876,0.04761874854534632,54031,5632.0881752949645,1.2461208333333333,600436.4657372619,38183,22926465571.245872,740904899233.407,0.030943870927250216
2,11,544860.1377879843,34533.51144405505,0.6345470034817394,0.05250185306082612,53996,5772.586450718488,1.2461208333333333,678961.5689504779,34263,23263260236.950222,740904899233.407,0.03139844298643463
2,12,673838.0971712214,41762.05278210087,0.723635893934641,0.04797996712174002,54193,5658.237738045891,1.2461208333333333,839683.69117875,39216,32929035633.26586,740904899233.407,0.04444434861658573
2,13,651041.2381129964,44562.10410686854,0.6958045869848966,0.04949083305235459,53630,5647.211953631583,1.2461208333333333,811276.0501717322,37316,30273577088.20836,740904899233.407,0.04086027386177573
2,14,644840.445523453,39002.73615026807,0.6596675253433162,0.05035841071701222,53959,5692.134967162675,1.5069444444444444,971738.7269346478,35595,34589039985.238785,740904899233.407,0.04668485796358895
2,15,786991.6631236483,59664.94221703038,0.75617871601013,0.04624618432412507,54097,5860.772544716877,1.5069444444444444,1185952.7145682755,40907,48513767694.844444,740904899233.407,0.06547907531052939
2,16,774404.0332894664,44734.98920529683,0.7803747845267002,0.04460503741883293,53951,5799.912123631547,1.5069444444444444,1166983.855720932,42102,49132354293.562675,740904899233.407,0.06631398219177456
2,17,1036988.420151171,80928.30660417982,0.8115388911643147,0.041899732947839774,53714,6011.866017367414,1.5069444444444444,1562683.9387000285,43591,68118955571.87294,740904899233.407,0.09194021478647754
2,18,1106729.0290159876,86285.50939566984,0.8100467159262223,0.04260333173997304,53729,5952.431511093161,1.5069444444444444,1667779.161781037,43523,72586752458.19608,740904899233.407,0.09797040420882559
2,19,1325854.5926904448,119095.85945243597,0.8172060766182299,0.0420825073983547,54504,5845.374862033958,1.5069444444444444,1997989.2125960174,44541,88992437518.23921,740904899233.407,0.12011317189333899
2,20,1880484.2113159425,324620.0864382812,0.9079946739680813,0.0296004172470744,53323,5746.637877033965,1.5069444444444444,2833785.235108052,48417,137203379728.22655,740904899233.407,0.18518352337821892
3,1,373267.94554455444,24745.66193817261,0.42883663366336633,0.04564977935873524,12928,1195.724957090778,1.718375,641414.3059251237,5544,3556000912.048886,183751880161.6811,0.01935218790098911
3,2,436984.5867864612,34788.493410495714,0.44101928588025713,0.04622260775834174,12911,1209.9031012647065,1.718375,750903.3893191852,5694,4275643898.78344,183751880161.6811,0.023268572245472276
3,3,426438.240917782,20366.87734963791,0.43923518164435943,0.04649570289861576,13075,1234.0572165966175,1.718375,732780.8122370937,5742.999999999999,4208360204.6776285,183751880161.6811,0.022902406228304945
3,4,416002.50528458465,16217.418420363696,0.42229703280357,0.0481300561554574,12773,1262.0406978565272,1.718375,714848.3050183981,5394,3855891757.2692394,183751880161.6811,0.020984230223258047
3,5,476523.81763294374,28439.697023931065,0.6457156126635188,0.048138872193609274,12919,1291.436981945152,1.718375,818846.6151250097,8342,6830818463.37283,183751880161.6811,0.03717414187741902
3,6,487549.53156197205,27585.647042444263,0.5814007064966978,0.05018252976277171,13022,1323.4295617530597,1.718375,837792.9262978038,7570.999999999999,6342930245.000671,183751880161.6811,0.034518995067803405
3,7,545934.2389626427,25772.86084083463,0.5463105896881754,0.0496509083237036,12956,1292.3574137369685,1.3325,727457.3734177215,7078,5148943289.0506325,183751880161.6811,0.028021173358988974
3,8,535055.0688360451,27318.435013104543,0.5668804755944932,0.048510028232717585,12784,1245.359946620541,1.3325,712960.8792240301,7247.000000000001,5166827491.7365465,183751880161.6811,0.02811850135732117
3,9,590946.1300309597,32600.54428983331,0.6210526315789474,0.048355597551591835,12920,1282.7009904646425,1.3325,787435.7182662538,8024.000000000001,6318384203.368422,183751880161.6811,0.034385412534603456
3,10,719370.4735376044,44161.13553408864,0.6195450324976787,0.050381840642035575,12924,1343.263405503006,1.3325,958561.155988858,8006.999999999999,7675199176.002785,183751880161.6811,0.04176936404269425
3,11,682348.6221536086,36358.78696218447,0.581705905055963,0.05284875630148617,12955,1370.459710467645,1.3325,909229.5390196835,7536,6851953806.052335,183751880161.6811,0.03728916297358907
3,12,789574.8031496063,46765.027951584256,0.6430446194225722,0.0502522712388002,12954,1343.8892063499154,1.3325,1052108.4251968504,8330,8764063181.889765,183751880161.6811,0.04769509391783295
3,13,810321.246721185,51782.97826178514,0.6435735226045364,0.05046909014538738,12962,1371.8645848900699,1.3325,1079753.0612559791,8342,9007300036.997377,183751880161.6811,0.04901881836023643
3,14,919689.7007384376,49692.52459904441,0.6913330742324135,0.050167825450885606,12865,1360.9506238612544,1.29021875,1186600.896074621,8894,10553628369.68768,183751880161.6811,0.05743412454012262
3,15,924937.1074059713,48404.06898369582,0.7416052733617682,0.04726715968227319,12895,1371.6656444344378,1.29021875,1193371.198545948,9563,11412208771.6949,183751880161.6811,0.06210662313579286
3,16,1000709.7966728281,71639.07247214728,0.6473351817621689,0.04970498200871353,12984,1342.8684738038428,1.29021875,1291134.5429759705,8405,10851985833.713032,183751880161.6811,0.05905782201610399
3,17,1014899.649122807,58655.65274525329,0.6744639376218323,0.05057129976865001,12825,1347.3009580291384,1.29021875,1309442.5566666666,8650,11326678115.166666,183751880161.6811,0.061641154937845846
3,18,1531061.9264286265,113594.00473300225,0.8591809979177913,0.03850338975847481,12967,1405.712972828877,1.29021875,1975404.8048893344,11141,22007984931.272076,183751880161.6811,0.11977012105621729
3,19,1199388.689827076,80955.69703727488,0.841330425299891,0.03815119204244825,12838,1317.2104342663251,1.29021875,1547473.7761528275,10801,16714264256.22669,183751880161.6811,0.0909610516176488
3,20,1406025.638643753,124359.67701110717,0.976466945347577,0.011826690010879852,12918,1314.426729419659,1.29021875,1814080.6419588947,12614,22882813217.6695,183751880161.6811,0.12453104260775555
4,1,199851.59888233469,28429.718985488547,0.6783607575287178,0.051442110789701616,12884,1419.3002571402312,2.8574557072320608,571067.0918257798,8740,4991126382.557315,252850177826.27448,0.01973946162690288
4,2,203727.29417315405,13899.901522070251,0.7868207910670756,0.04410821155607045,12717,1382.6735404843168,2.8574557072320608,582141.719454024,10006,5824910044.856964,252850177826.27448,0.02303700197062578
4,3,238834.69516027655,20002.82670512238,0.6968101822752986,0.04918994377353513,12728,1360.192098158543,2.8574557072320608,682459.5627707617,8869,6052733862.213885,252850177826.27448,0.0239380249373308
4,4,260582.37906052815,15857.510623233324,0.7581989561424008,0.04642324806934336,12837,1385.2650056528753,2.8574557072320608,744602.6062506144,9733,7247217166.63723,252850177826.27448,0.028662100335229222
4,5,291206.6350710901,19680.24761361862,0.7624012638230648,0.04547484169835857,12660,1374.7807846049047,2.8574557072320608,832110.0613677303,9652,8031526312.321333,252850177826.27448,0.03176397335911524
4,6,315431.25146564527,19152.688621943133,0.7464238255295865,0.04784860982350636,12793,1395.2915884302772,2.8574557072320608,901330.8297398594,9549,8606808093.185917,252850177826.27448,0.03403916171694128
4,7,323821.03464346746,21287.845889377088,0.7989746776448656,0.04286130913729364,12874,1365.804771784813,2.054411111111111,665261.5315830355,10286,6842880113.863103,252850177826.27448,0.02706298319696905
4,8,387478.75623071444,31449.82169389944,0.8336102539757893,0.038725588731052044,12639,1371.1630792360118,2.054411111111111,796040.6621198934,10536,8387084416.095197,252850177826.27448,0.033170174085689993
4,9,346696.16380324785,20539.19867991424,0.7653565544834079,0.044811967069314305,12747,1349.0258168190578,2.054411111111111,712256.4510969901,9756,6948773936.902236,252850177826.27448,0.027481783863630593
4,10,373916.56288916565,22547.627620332292,0.7917185554171855,0.042431065099817915,12848,1345.4846322767503,2.054411111111111,768178.3414279784,10172,7813910089.005396,252850177826.27448,0.0309033205203996
4,11,357325.34678436315,20285.758824472745,0.787594577553594,0.04410104908012097,12688,1363.752284369346,2.054411111111111,734093.1627154265,9993,7335792975.015257,252850177826.27448,0.029012409791759976
4,12,391818.0265507336,23046.39771765661,0.81367906218461294,0.0395019550248025,12881,1346.904069558885,2.054411111111111,804955.3072794554,10481,8436736575.595972,252850177826.27448,0.033366543967363126
4,13,460152.1670357482,33345.78371134947,0.8029895602657386,0.042997633814282725,12644,1369.3076455747698,2.054411111111111,945341.724760097,10153,9598054531.489265,252850177826.27448,0.03795945335693531
4,14,541865.5030000779,38054.05587094932,0.8098651913036702,0.04161445531465375,12833,1361.961693223502,2.503820833333333,1356734.1352762408,10393,14100537867.92597,252850177826.27448,0.055766375128333955
4,15,481560.80763812806,27541.011022543793,0.8762717170136172,0.034869795080158354,12778,1343.5783779625845,2.503820833333333,1205741.9826811708,11197,13500692980.08107,252850177826.27448,0.05339404186362478
4,16,600001.8795520401,43439.06434870902,0.809147153261806,0.04083367293058182,12769,1351.6845898954996,2.503820833333333,1502297.2060615553,10332,15521734733.02799,252850177826.27448,0.06138708252636663
4,17,694511.5547869832,62931.784387197884,0.8199968558402767,0.04067350044172386,12722,1343.777509458978,2.503820833333333,1738932.4998663731,10432,18140543838.606003,252850177826.27448,0.07174423998653388
4,18,816362.2145761652,77398.5831255949,0.821707851110416,0.04169833206656507,12788,1349.5612800665988,2.503820833333333,2044024.7204019392,10508,21478611761.983578,252850177826.27448,0.08494600220032618
4,19,1088128.8808946586,97496.57757291308,0.8884804879956205,0.03257417494072202,12787,1330.8945566715915,2.503820833333333,2724479.7613357315,11361,30952814568.535244,252850177826.27448,0.12241563298326792
4,20,1532525.3929389464,140303.06284401403,0.8858699944712107,0.03438974967322938,12661,1330.8325490380257,2.503820833333333,3837169.0064528864,11215.999999999998,43037687576.375565,252850177826.27448,0.17021023258265386
5,1,234197.54716981133,19918.513115148628,0.6297169811320754,0.037765173448458374,42400,3247.9045291675034,1.7701083333333334,414555.02989150945,26699.999999999996,11068619298.1033,515927976047.6489,0.02145380714357899
5,2,275702.6912780048,13362.093169436263,0.6042694096096942,0.0403998602738227,42582,3461.0500991895724,1.7701083333333334,488023.6313536236,25731,12557336058.360088,515927976047.6489,0.024339319907708098
5,3,280472.6703359271,19954.014905918855,0.626352249003606,0.0397680719821332,42152,3462.327542736896,1.7701083333333334,496467.0110338774,26402,13107722025.316431,515927976047.6489,0.025406108282265076
5,4,284648.29044765595,11774.620645170013,0.754858418517213,0.035629341370294776,42555,3403.9994618815135,1.7701083333333334,503858.31099048286,32123,16185440523.94728,515927976047.6489,0.031371511674824284
5,5,317180.5341976389,16973.9627119207,0.6415813007168374,0.03845482395834705,42269,3353.478605113041,1.7701083333333334,561443.906754359,27119,15225797307.271461,515927976047.6489,0.029511478373224077
5,6,328432.1122221696,12940.896497317517,0.682195156627648,0.0377273712481333,42202,3416.356139942086,1.7701083333333334,581360.4187787309,28790,16737366456.639664,515927976047.6489,0.03244128489573101
5,7,339172.8421201214,15394.462326565883,0.7379019926129814,0.036168473010159054,42507,3462.0142070480238,1.4444444444444444,489916.32750684203,31366,15366715528.579607,515927976047.6489,0.029784613825943027
5,8,343616.8105278053,16837.273356860922,0.7363567756237913,0.03647176017854934,42402,3500.6117186540228,1.4444444444444444,496335.39298460766,31223,15497079975.158405,515927976047.6489,0.03003729337159875
5,9,366637.3391958017,16095.125129031807,0.7073257215800298,0.037008635942272806,42303,3430.1109600650952,1.4444444444444444,529587.2677272691,29922,15846310224.935347,515927976047.6489,0.030714190663449985
5,10,423681.4643581639,31138.4665896047,0.6246402792848045,0.04082506836948017,42394,3532.5116415899743,1.4444444444444444,611984.3374062367,26481,16205957238.854553,515927976047.6489,0.031411278300903456
5,11,391511.20092761307,23794.459274126744,0.7337135284791405,0.03703826899801438,42259,3444.9250219685505,1.4444444444444444,565516.1791176633,31006,17534394649.722267,515927976047.6489,0.033986128808225095
5,12,408648.82562277577,23307.070909827442,0.7398813760379597,0.03760189513138636,42150,3556.5428622054706,1.4444444444444444,590270.525899565,31186,18408176620.703835,515927976047.6489,0.035679741117593
5,13,438237.3902605503,30220.318407145427,0.6863040459434651,0.038947887876082506,42487,3533.097196965164,1.4444444444444444,633009.5637096837,29159,18457925868.210667,515927976047.6489,0.03577616784732365
